location_name,permit_number,start_time,stop_time,duration_minutes
AKELEY (EX STW) PS,AnW0003,2021-01-23T13:45:00,2021-01-23T14:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T14:15:00,2021-01-23T14:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T14:30:00,2021-01-23T14:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T15:00:00,2021-01-23T15:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T15:30:00,2021-01-23T15:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T15:45:00,2021-01-23T16:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T16:00:00,2021-01-23T16:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T16:30:00,2021-01-23T16:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T16:45:00,2021-01-23T17:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T17:30:00,2021-01-23T17:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T18:00:00,2021-01-23T18:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T18:15:00,2021-01-23T18:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T18:45:00,2021-01-23T19:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T19:00:00,2021-01-23T19:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-23T19:30:00,2021-01-24T01:15:00,345.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T01:15:00,2021-01-24T02:15:00,60.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T02:15:00,2021-01-24T02:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T02:45:00,2021-01-24T03:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T03:15:00,2021-01-24T03:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T03:45:00,2021-01-24T04:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T04:00:00,2021-01-24T04:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T04:15:00,2021-01-24T05:00:00,45.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T05:00:00,2021-01-24T05:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T05:15:00,2021-01-24T05:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T05:30:00,2021-01-24T05:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T06:00:00,2021-01-24T06:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T06:30:00,2021-01-24T06:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T06:45:00,2021-01-24T07:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T07:00:00,2021-01-24T07:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T07:30:00,2021-01-24T14:15:00,405.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T14:15:00,2021-01-24T15:30:00,75.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T15:30:00,2021-01-24T16:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T16:15:00,2021-01-24T16:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T16:30:00,2021-01-24T17:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T17:00:00,2021-01-24T17:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T17:45:00,2021-01-24T18:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T18:00:00,2021-01-24T19:00:00,60.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T19:15:00,2021-01-24T20:15:00,60.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T20:30:00,2021-01-24T21:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T21:00:00,2021-01-24T21:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T21:15:00,2021-01-24T21:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T22:15:00,2021-01-24T22:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T22:30:00,2021-01-24T22:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-24T23:30:00,2021-01-24T23:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T00:00:00,2021-01-25T00:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T08:30:00,2021-01-25T08:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T08:45:00,2021-01-25T09:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T09:00:00,2021-01-25T09:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T09:15:00,2021-01-25T09:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T09:45:00,2021-01-25T10:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T10:00:00,2021-01-25T10:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T10:15:00,2021-01-25T11:00:00,45.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T11:15:00,2021-01-25T11:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T11:45:00,2021-01-25T12:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T12:00:00,2021-01-25T12:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T12:30:00,2021-01-25T12:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T12:45:00,2021-01-25T13:15:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T13:15:00,2021-01-25T13:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T13:45:00,2021-01-25T14:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T14:00:00,2021-01-25T14:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T14:15:00,2021-01-25T14:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T14:30:00,2021-01-25T14:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T15:30:00,2021-01-25T15:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T15:45:00,2021-01-25T16:15:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T16:30:00,2021-01-25T17:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T17:00:00,2021-01-25T17:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T17:45:00,2021-01-25T19:15:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T19:15:00,2021-01-25T19:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T19:30:00,2021-01-25T20:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T20:15:00,2021-01-25T20:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T20:30:00,2021-01-25T20:45:00,15.0
